treatment,comp,plot_id,carbon_mgha,pmort,stable_ltc_mgha
control,0040,0040-00002,178.08051258451673,98,3.561610251690338
control,0040,0040-00003,266.24741429279305,8,244.9476211493696
control,0040,0040-00005,260.4883991032534,97,7.814651973097609
control,0040,0040-00007,146.14572507177272,98,2.9229145014354567
control,0040,0040-00012,159.41337229382466,98,3.188267445876496
control,0040,0040-00101,243.6850730316225,22,190.07435696466555
control,0040,0040-00103,358.83552227223305,9,326.5403252677321
control,0040,0040-00104,313.76388656438894,8,288.66277563923785
control,0040,0040-00105,446.3590223993967,98,8.927180447987942
control,0040,0040-00106,213.4612997279558,14,183.57671776604198
control,0040,0040-00107,143.7140603973961,100,0
control,0040,0040-00108,102.39507035206687,98,2.0479014070413393
control,0040,0040-00109,440.20316265314733,6,413.79097289395844
control,0040,0040-00110,518.6965028650096,6,487.574712693109
control,0040,0040-00111,242.71145036492965,10,218.4403053284367
control,0040,0040-00112,164.37951540981103,96,6.575180616392447
control,0040,0040-00113,382.5902315999476,100,0
control,0040,0040-00114,140.81243034306772,83,23.938113158321517
control,0040,0040-00115,190.15910002811793,24,144.52091602136963
control,0040,0040-00116,197.73157615599078,33,132.4801560245138
control,0240,0240-00003,191.83616420663935,91,17.265254778597537
control,0240,0240-00005,97.18884038725683,99,0.9718884038725691
control,0240,0240-00007,139.05366474592697,14,119.58615168149718
control,0240,0240-00009,198.3906480580099,98,3.9678129611602015
control,0240,0240-00022,183.35240427339744,100,0
control,0240,0240-00026,219.38317256934408,10,197.4448553124097
control,0240,0240-00101,175.28491940145233,17,145.48648310320542
control,0240,0240-00102,321.0813702604414,7,298.6056743422105
control,0240,0240-00104,228.048386613108,100,0
control,0240,0240-00105,236.8211719366445,12,208.40263130424717
control,0240,0240-00106,256.5556594918802,100,0
control,0240,0240-00107,121.83151594810204,13,105.99341887484877
control,0240,0240-00109,163.30287192403176,25,122.47715394302382
control,0240,0240-00110,79.2609964114343,98,1.5852199282286876
control,0240,0240-00112,121.24766915338463,56,53.34897442748923
control,0240,0240-00113,297.1535149251445,100,0
control,0240,0240-00114,289.735985300263,12,254.96766706423145
control,0240,0240-00115,274.3067482410322,100,0
control,0590,0590-00005,253.46339304630538,97,7.603901791389168
control,0590,0590-00009,153.40992788477706,100,0
control,0590,0590-00013,231.68010559203276,12,203.87849292098883
control,0590,0590-00021,132.51992191999128,33,88.78834768639415
control,0590,0590-00101,65.62556591630243,21,51.844197073878924
control,0590,0590-00102,195.25878708154448,14,167.92255689012825
control,0590,0590-00104,147.57619261964217,15,125.43976372669584
control,0590,0590-00105,235.03200009032568,6,220.93008008490614
control,0590,0590-00106,355.32007082299486,10,319.7880637406954
control,0590,0590-00107,282.84047173538414,100,0
control,0590,0590-00109,395.00781733294434,5,375.2574264662971
control,0590,0590-00111,415.0105260711239,96,16.60042104284497
control,0590,0590-00113,124.14484031299338,48,64.55531696275656
control,0590,0590-00115,208.68168735404623,15,177.37943425093928
control,0590,0590-00116,185.4564585790414,15,157.63798979218518
control,0590,0590-00117,110.68398135357575,12,97.40190359114666
control,0590,0590-00118,329.7407839380659,100,0
mech,0190,0190-00010,141.311721369774,4,135.65925251498305
mech,0190,0190-00024,197.87746139244473,7,184.02603909497358
mech,0190,0190-00025,94.8836767243286,7,88.24181935362559
mech,0190,0190-00026,146.70715612609538,6,137.90472675852965
mech,0190,0190-00027,93.21343023251113,8,85.75635581391025
mech,0190,0190-00102,267.779845718921,5,254.39085343297495
mech,0190,0190-00104,164.1680318185124,95,8.208401590925627
mech,0190,0190-00106,58.39960117322902,14,50.22365700897696
mech,0190,0190-00108,98.18804051540981,4,94.26051889479342
mech,0190,0190-00110,143.17671385153665,4,137.44964529747517
mech,0190,0190-00111,227.24491021226663,6,213.61021559953062
mech,0190,0190-00113,284.8791581575233,12,250.69365917862052
mech,0190,0190-00114,152.72837114133722,96,6.109134845653494
mech,0190,0190-00116,175.3825084580497,17,145.56748202018125
mech,0350,0350-00002,166.56688808552576,6,156.5728748003942
mech,0350,0350-00003,95.5809640418504,3,92.71353512059488
mech,0350,0350-00005,230.30439136365112,7,214.18308396819552
mech,0350,0350-00101,87.33460086370563,13,75.9811027514239
mech,0350,0350-00102,132.43625442162542,5,125.81444170054414
mech,0350,0350-00103,191.60739040535915,21,151.36983842023375
mech,0350,0350-00105,139.65719235669587,15,118.70861350319149
mech,0350,0350-00106,138.67012811283357,5,131.7366217071919
mech,0350,0350-00109,144.81666359513045,11,128.8868305996661
mech,0350,0350-00110,116.63998199939519,7,108.47518325943751
mech,0350,0350-00111,372.6316253278342,6,350.2737278081641
mech,0350,0350-00112,160.643689477522,5,152.6115050036459
mech,0350,0350-00113,93.8109672524191,5,89.12041888979815
mech,0350,0350-00115,73.55976246260262,12,64.7325909670903
mech,0350,0350-00116,255.1163982098123,6,239.80941431722354
mech,0350,0350-00117,139.0110431819668,6,130.6703805910488
mech,0350,0350-00119,194.5619590007185,16,163.43204556060354
mech,0490,0490-00004,89.42215673508073,9,81.37416262892347
mech,0490,0490-00008,132.5469514002083,5,125.91960383019787
mech,0490,0490-00018,74.82800056406617,21,59.11412044561228
mech,0490,0490-00020,63.27863128357998,15,53.786836591042984
mech,0490,0490-00033,94.20505374128562,3,91.37890212904705
mech,0490,0490-00035,160.66122243614225,14,138.16865129508233
mech,0490,0490-00041,341.2575471859103,3,331.019820770333
mech,0490,0490-00042,109.96615251856953,12,96.77021421634119
mech,0490,0490-00102,249.71594148742153,7,232.23582558330202
mech,0490,0490-00103,263.0428258181367,5,249.89068452722984
mech,0490,0490-00104,243.67477869713645,2,238.8012831231937
mech,0490,0490-00105,167.68706772044524,18,137.50339553076512
mech,0490,0490-00110,109.46184031611931,8,100.70489309082977
mech,0490,0490-00115,332.37617145907876,4,319.0811246007156
mech,0490,0490-00117,179.99739205551242,4,172.79749637329192
mech,0490,0490-00120,127.90327118839365,11,113.83391135767035
mech,0490,0490-00122,220.74663137691599,9,200.87943455299356
mech,0490,0490-00124,115.9592597556912,25,86.9694448167684
mech,0490,0490-00125,132.22180625532536,30,92.55526437872774
mech,0490,0490-00126,192.23532935012494,7,178.77885629561618
burn,0060,0060-00021,150.29043240629792,7,139.77010213785707
burn,0060,0060-00027,84.64806690617738,7,78.72270222274496
burn,0060,0060-00101,94.37715334340749,100,0
burn,0060,0060-00102,169.02219888392466,7,157.19064496204993
burn,0060,0060-00103,131.96848088600126,6,124.05037203284118
burn,0060,0060-00104,130.33809806649612,9,118.60766924051147
burn,0060,0060-00105,149.80947467426972,8,137.82471670032814
burn,0060,0060-00106,170.90417263166677,9,155.52279709481675
burn,0060,0060-00107,85.1466645111573,9,77.48346470515314
burn,0060,0060-00108,6.917344755567524,12,6.087263384899421
burn,0060,0060-00109,254.74530530016972,4,244.55549308816293
burn,0060,0060-00111,154.64260068674628,6,145.3640446455415
burn,0060,0060-00112,144.05868571043433,8,132.5339908535996
burn,0060,0060-00113,166.11954285771304,4,159.47476114340452
burn,0060,0060-00114,228.3278251433567,2,223.76126864048956
burn,0060,0060-00116,141.79847030691968,8,130.45459268236613
burn,0060,0060-00117,248.72487812191162,6,233.8013854345969
burn,0060,0060-00119,246.3058571678372,6,231.52750573776694
burn,0060,0060-00130,118.69335961371605,14,102.0762892677958
burn,0340,0340-00006,143.1339257807895,12,125.95785468709475
burn,0340,0340-00013,151.12841183319148,12,132.9930024132085
burn,0340,0340-00024,285.3754507289847,12,251.1303966415065
burn,0340,0340-00025,129.74675029047103,8,119.36701026723335
burn,0340,0340-00026,77.25061811740822,23,59.48297595040433
burn,0340,0340-00103,193.34242580483374,98,3.8668485160966783
burn,0340,0340-00104,148.11946797934917,10,133.30752118141424
burn,0340,0340-00108,116.73693146288304,27,85.21795996790462
burn,0340,0340-00109,129.08505236654045,16,108.43144398789397
burn,0340,0340-00111,103.19983365969253,6,97.00784364011098
burn,0340,0340-00112,433.07951862530274,3,420.08713306654363
burn,0340,0340-00113,172.5464056927387,1,170.8209416358113
burn,0340,0340-00114,212.85445768760795,4,204.34027938010362
burn,0340,0340-00115,137.7240574648421,7,128.08337344230316
burn,0340,0340-00116,162.90503016614434,10,146.61452714952992
burn,0340,0340-00117,116.49741194957205,11,103.68269663511913
burn,0340,0340-00121,226.65150286284006,15,192.65377743341404
burn,0340,0340-00122,137.4387083904527,13,119.57167629969383
burn,0340,0340-00123,221.89083894262887,6,208.57738860607114
burn,0340,0340-00124,125.55299252607212,5,119.2753428997685
burn,0400,0400-00002,47.38395124438862,9,43.11939563239365
burn,0400,0400-00009,152.5405644604559,13,132.71029108059662
burn,0400,0400-00022,232.5825783446689,3,225.6051009943288
burn,0400,0400-00023,75.8009934389409,73,20.466268228514046
burn,0400,0400-00024,245.76818416140912,3,238.39513863656686
burn,0400,0400-00101,164.55949015253583,6,154.68592074338366
burn,0400,0400-00102,117.85790982289512,7,109.60785613529245
burn,0400,0400-00103,206.96183810441846,8,190.404891056065
burn,0400,0400-00104,135.56938010737306,9,123.3681358977095
burn,0400,0400-00105,286.3633819245907,5,272.0452128283612
burn,0400,0400-00106,393.45934900124627,6,369.8517880611715
burn,0400,0400-00108,210.68931567416774,2,206.4755293606844
burn,0400,0400-00109,195.9374181099174,6,184.18117302332234
burn,0400,0400-00110,167.84304242909167,3,162.80775115621893
burn,0400,0400-00112,169.0603640559124,7,157.22613857199852
burn,0400,0400-00116,166.99368907664618,12,146.95444638744863
burn,0400,0400-00118,149.00695060339646,12,131.1261165309889
burn,0400,0400-00119,90.53180071070057,11,80.57330263252351
burn,0400,0400-00120,222.19978461746751,7,206.64579969424477
burn,0400,0400-00121,275.08428263946354,4,264.080911333885
mechburn,0180,0180-00004,276.83492384244204,4,265.76152688874436
mechburn,0180,0180-00008,64.02805368019263,4,61.46693153298492
mechburn,0180,0180-00010,42.26446303444291,3,40.996529143409624
mechburn,0180,0180-00013,92.55498669754344,1,91.62943683056801
mechburn,0180,0180-00018,79.9600967253079,3,77.56129382354867
mechburn,0180,0180-00102,159.82165224059642,1,158.22343571819044
mechburn,0180,0180-00107,250.44996186317246,4,240.43196338864556
mechburn,0180,0180-00108,182.67379944194343,3,177.19358545868513
mechburn,0180,0180-00109,143.5087354530197,5,136.33329868036873
mechburn,0180,0180-00110,11.547876384686578,54,5.312023136955825
mechburn,0180,0180-00111,128.0266816781676,19,103.70161215931576
mechburn,0180,0180-00114,187.46527584557728,2,183.71597032866572
mechburn,0180,0180-00117,51.652667484900675,2,50.61961413520266
mechburn,0180,0180-00120,14.262816683353357,6,13.407047682352156
mechburn,0180,0180-00121,142.72138028442643,6,134.15809746736085
mechburn,0380,0380-00002,67.97094138049636,8,62.53326607005665
mechburn,0380,0380-00004,204.33787271584606,4,196.1643578072122
mechburn,0380,0380-00006,107.54999301600301,4,103.24799329536289
mechburn,0380,0380-00010,101.93150433024519,4,97.85424415703538
mechburn,0380,0380-00015,146.69819217296592,6,137.89630064258796
mechburn,0380,0380-00102,125.99175089197513,2,123.47191587413562
mechburn,0380,0380-00104,125.5307391479449,3,121.76481697350656
mechburn,0380,0380-00107,138.65652436962523,3,134.49682863853647
mechburn,0380,0380-00110,116.97857152221098,1,115.80878580698888
mechburn,0380,0380-00112,133.49717395474312,6,125.48734351745853
mechburn,0380,0380-00113,19.584336387071595,17,16.254999201269424
mechburn,0380,0380-00114,222.3372407437276,1,220.11386833629032
mechburn,0380,0380-00117,196.41698074209887,2,192.4886411272569
mechburn,0380,0380-00118,132.9007296790156,4,127.58470049185497
mechburn,0380,0380-00119,211.94215552004133,3,205.58389085444009
mechburn,0380,0380-00120,250.6930134469756,5,238.15836277462682
mechburn,0380,0380-00125,115.69440068711224,8,106.43884863214326
mechburn,0380,0380-00126,113.83297450174517,1,112.69464475672771
mechburn,0570,0570-00011,97.89925552359016,26,72.44544908745671
mechburn,0570,0570-00013,123.30731367308798,4,118.37502112616446
mechburn,0570,0570-00017,201.89538924965692,5,191.80061978717407
mechburn,0570,0570-00023,188.399173310608,6,177.09522291197152
mechburn,0570,0570-00025,42.680071917527826,37,26.88844530804253
mechburn,0570,0570-00101,171.0511054066689,10,153.94599486600202
mechburn,0570,0570-00102,82.26861625857173,6,77.33249928305742
mechburn,0570,0570-00103,142.39271496086684,4,136.69700636243215
mechburn,0570,0570-00104,79.37358479376512,4,76.19864140201452
mechburn,0570,0570-00105,143.09870139832844,7,133.08179230044544
mechburn,0570,0570-00106,242.7739755623161,3,235.49075629544663
mechburn,0570,0570-00107,182.05206689543783,4,174.7699842196203
mechburn,0570,0570-00110,105.92668823549619,5,100.63035382372138
mechburn,0570,0570-00111,129.0670686870568,12,113.57902044460998
mechburn,0570,0570-00112,129.1150587542844,7,120.07700464148449
mechburn,0570,0570-00113,155.75479270677806,3,151.08214892557473
mechburn,0570,0570-00115,101.9702486423479,9,92.79292626453659
mechburn,0570,0570-00119,111.99812129094869,9,101.91829037476332
mechburn,0180,0180-00101,0,0,0
mechburn,0380,0380-00103,0,0,0
mechburn,0380,0380-00127,0,0,0
